Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
Plan,LE01,Official Copy (Title Plan) NT341682,HM Land Registry,,2024,\#mar\#,,Netherfield Nottingham,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Netherfield/Official Copy (Title Plan) NT341682.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT36993,HM Land Registry,,2024,\#apr\#,,New Star Road State,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/New Star/Official Copy (Title Plan) - LT36993.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT36813,HM Land Registry,,2024,\#mar\#,,New Star Road State,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/New Star/Official Copy (Title Plan) LT36813.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT56958,HM Land Registry,,2024,\#mar\#,,New Star Road State,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/New Star/Official Copy (Title Plan) LT56958.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT92741,HM Land Registry,,2024,\#mar\#,,New Star Road State,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/New Star/Official Copy (Title Plan) LT92741.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT16144,HM Land Registry,,2024,\#mar\#,,Aylestone Road,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Aylestone Road/Official Copy (Title Plan) LT16144.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT454036,HM Land Registry,,2024,\#mar\#,,"Beveridge Lane, Bardon Hill",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Beveridge Lane, Bardon Hill/Official Copy (Title Plan) LT454036.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT167066,HM Land Registry,,2024,\#mar\#,,"Beveridge Lane, Bardon Hill",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Beveridge Lane, Bardon Hill/Official Copy (Title Plan) LT167066.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT168566,HM Land Registry,,2024,\#mar\#,,"Beveridge Lane, Bardon Hill",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Beveridge Lane, Bardon Hill/Official Copy (Title Plan) LT168566.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) SF298318,HM Land Registry,,2024,\#mar\#,,Biddulph Moor,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Biddulph Moor/Official Copy (Title Plan) SF298318.pdf:PDF
